"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Responsible AI in the Enterprise: Practical AI risk management for explainable, auditable, and safe models with hyperscalers and Azure OpenAI","A. Masood; H. Dawe; D. E. Adeli",NA; NA; NA,"Responsible AI in the Enterprise: Practical AI risk management for explainable, auditable, and safe models with hyperscalers and Azure OpenAI","","2023","","","","","Build and deploy your AI models successfully by exploring model governance, fairness, bias, and potential pitfalls Purchase of the print or Kindle book includes a free PDF eBookKey FeaturesLearn ethical AI principles, frameworks, and governanceUnderstand the concepts of fairness assessment and bias mitigationIntroduce explainable AI and transparency in your machine learning modelsBook DescriptionResponsible AI in the Enterprise is a comprehensive guide to implementing ethical, transparent, and compliant AI systems in an organization. With a focus on understanding key concepts of machine learning models, this book equips you with techniques and algorithms to tackle complex issues such as bias, fairness, and model governance. Throughout the book, you’ll gain an understanding of FairLearn and InterpretML, along with Google What-If Tool, ML Fairness Gym, IBM AI 360 Fairness tool, and Aequitas. You’ll uncover various aspects of responsible AI, including model interpretability, monitoring and management of model drift, and compliance recommendations. You’ll gain practical insights into using AI governance tools to ensure fairness, bias mitigation, explainability, privacy compliance, and privacy in an enterprise setting. Additionally, you’ll explore interpretability toolkits and fairness measures offered by major cloud AI providers like IBM, Amazon, Google, and Microsoft, while discovering how to use FairLearn for fairness assessment and bias mitigation. You’ll also learn to build explainable models using global and local feature summary, local surrogate model, Shapley values, anchors, and counterfactual explanations. By the end of this book, you’ll be well-equipped with tools and techniques to create transparent and accountable machine learning models.What you will learnUnderstand explainable AI fundamentals, underlying methods, and techniquesExplore model governance, including building explainable, auditable, and interpretable machine learning modelsUse partial dependence plot, global feature summary, individual condition expectation, and feature interactionBuild explainable models with global and local feature summary, and influence functions in practiceDesign and build explainable machine learning pipelines with transparencyDiscover Microsoft FairLearn and marketplace for different open-source explainable AI tools and cloud platformsWho this book is forThis book is for data scientists, machine learning engineers, AI practitioners, IT professionals, business stakeholders, and AI ethicists who are responsible for implementing AI models in their organizations.","","9781803249667","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10251167.pdf&bkn=10251167&pdfType=book","","","","","","","","14 Sep 2023","","","Packt Publishing","Packt Publishing eBooks"
"Proposing an Interactive Audit Pipeline for Visual Privacy Research","J. DeHart; C. Xu; C. Grant; L. Egede","School of Computer Science, University of Oklahoma, Norman, Oklahoma, USA; School of Computer Science, University of Oklahoma, Norman, Oklahoma, USA; School of Computer Science, University of Oklahoma, Norman, Oklahoma, USA; Human Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA, USA",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","1249","1255","In an ideal world, deployed machine learning models will enhance our society. We hope that those models will provide unbiased and ethical decisions that will benefit everyone. However, this is not always the case; issues arise during the data preparation process throughout the steps leading to the models’ deployment. The continued use of biased datasets and biased processes will adversely damage communities and increase the cost to fix the problem later. In this work, we walk through the decision making process that a researcher should consider before, during, and after a system deployment to understand the broader impacts of their research in the community. Throughout this paper, we discuss fairness, privacy, and ownership issues in the machine learning pipeline, assert the need for a responsible human-over-the-loop methodology to bring accountability into machine learning pipeline, and finally, reflect on the need to explore research agendas that have harmful societal impacts. We examine visual privacy research and draw lessons that can apply broadly to artificial intelligence. Our goal is to provide a systematic analysis of the machine learning pipeline for visual privacy and bias issues. With this pipeline, we hope to raise stakeholder (e.g., researchers, modelers, corporations) awareness as these issues propagate in the various machine learning phases.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671478","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671478","visual privacy;fairness;human-over-the-loop","Training;Visualization;Privacy;Data privacy;Pipelines;Decision making;Machine learning","","1","","64","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Ethical Challenges and Frameworks in AI-Driven Software Development and Testing","A. Donvir; G. Sharma","Application Development, Wayne, NJ, USA; AI Test Automation Solution Architect, Atlanta, GA, USA",2025 IEEE 15th Annual Computing and Communication Workshop and Conference (CCWC),"5 Mar 2025","2025","","","00569","00576","Artificial Intelligence (AI) has revolutionized and transformed the landscape of software development and testing by introducing new efficiencies and capabilities through advancements like Generative AI (GenAI) and Large Language Models (LLMs). While these technologies bring major benefits in terms of productivity, personalization, and innovation, they also raise critical ethical challenges, such as biases, lack of transparency, data privacy concerns, and potential negative societal impacts. This paper examines the ethical considerations involved in developing such advanced AI systems as well using AI systems within software development and testing. It explores existing ethical frameworks and principles provided by leading organizations, emphasizing core concepts like human-centered design, accountability, transparency, fairness, and privacy. Practical strategies for integrating ethical practices throughout the AI development lifecycle are discussed, with a strong emphasis on the need for continuous ethical evaluation. The paper explores the ethical landscape of AI in software development, addressing challenges like algorithmic bias, data security, and broader societal impacts. Real-world case studies presented in the paper demonstrate the consequences of neglecting ethical considerations. Looking forward, the paper suggests future directions, including the development of unified ethical standards, collaborative ethical auditing, regulatory advancements, and higher societal engagement.","","979-8-3315-0769-5","10.1109/CCWC62904.2025.10903892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10903892","Artificial Intelligence (AI);Ethical AI;Software Development;Software Testing;Generative AI (GenAI);Large Language Models (LLMs);Ethical Frameworks;Human-Centered Design;Accountability;Transparency;Fairness and Non-Discrimination;Data Privacy;Responsible AI;Bias Detection;Explainable AI (XAI);Ethical Auditing;Regulatory Frameworks;Societal Engagement;Case Studies in AI Ethics","Ethics;Technological innovation;Data privacy;Standards organizations;Software algorithms;Collaboration;Stakeholders;Artificial intelligence;Software development management;Testing","","1","","26","IEEE","5 Mar 2025","","","IEEE","IEEE Conferences"
"Managing Transparency Fairness Accountability in AI for Sustainable Human Resource Management","R. Setiawati; A. Kusmara; T. Kuusk","Management Department, BINUS Business School Undergraduate Program, Bina Nusantara University, Jakarta, Indonesia; Department of Economy, Darma Persada University, Jakarta, Indonesia; Department of Computer Science, Ilearning Incorporation, Barranquilla, Colombia",2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),"24 Sep 2025","2025","","","1","7","The proliferation of Artificial Intelligence (AI) in Human Resource Management (HRM) offers significant efficiencies but concurrently introduces critical ethical challenges regarding transparency, fairness, and accountability, thereby impacting sustainable workforce management. The novelty of this study lies in its exploration of strategies for effectively managing these ethical dimensions in AI-driven HRM, with a focus on identifying practical solutions to mitigate algorithmic bias and enhance transparency. The research focuses on identifying ethical issues, such as algorithmic bias and lack of transparency in AI-assisted recruitment, performance evaluation, and overall employee management. Adopting a Systematic Literature Review (SLR) methodology, this paper analyzes recent publications (2019-2024) from Scopus to synthesize existing knowledge on AI ethics in HRM. Key findings reveal a significant lack of standardized best practices and audit trails, with opaque AI-driven decisions often undermining trust and fairness. If not properly designed, AI algorithms can perpetuate biases embedded in historical data, leading to discriminatory outcomes, as evidenced by cases at companies like Amazon and HireVue. The study concludes that organizations must proactively implement robust governance frameworks, including ethics training, the development of transparent and fair-by-design algorithms, regular audits, and mechanisms for human oversight. Integrating frameworks such as Fairness, Accountability, and Transparency (FAT) and Ethical AI by Design is crucial for ensuring that AI applications in HRM are ethically sound, legally compliant, and contribute to sustainable and equitable workforce management.","","979-8-3315-9429-9","10.1109/ICCIT65724.2025.11166968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166968","AI advancements;AI-driven decisions;AI utilization;ethics in HRM;transparent algorithms","Performance evaluation;Training;Ethics;Data privacy;Standards organizations;Decision making;Companies;Artificial intelligence;Recruitment;Systematic literature review","","","","31","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"Publicly Auditable Privacy-Preserving Electoral Rolls","P. Agrawal; M. P. Jhanwar; S. V. Sharma; S. Banerjee","Department of Computer Science and Engineering, Indian Institute of Technology Delhi, New Delhi, India; Department of Computer Science and Center for Digitalisation, AI and Society, Ashoka University, Sonipat, India; Department of Computer Science and Engineering, Indian Institute of Technology Delhi, New Delhi, India; Department of Computer Science and Center for Digitalisation, AI and Society, Ashoka University, Sonipat, India",2024 IEEE 37th Computer Security Foundations Symposium (CSF),"20 Sep 2024","2024","","","217","232","While existing literature on electronic voting has extensively addressed verifiability of voting protocols, the vulnerability of electoral rolls in large public elections remains a critical concern. To ensure integrity of electoral rolls, the current practice is to either make electoral rolls public or share them with the political parties. However, this enables construction of detailed voter profiles and selective targeting and manipulation of voters, thereby undermining the fundamental principle of free and fair elections. In this paper, we study the problem of designing publicly auditable yet privacy-preserving electoral rolls. We first formulate a threat model and provide formal security definitions. We then present a protocol for creation, maintenance and usage of electoral rolls that mitigates the threats. Eligible voters can verify their inclusion, whereas political parties and auditors can statistically audit the electoral roll. Further, the audit can also detect polling-day ballot stuffing and denials to eligible voters by malicious polling officers. The entire electoral roll is never revealed, which prevents any large-scale systematic voter targeting and manipulation.","2374-8303","979-8-3503-6203-9","10.1109/CSF61375.2024.00044","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10664400","electronic voting;eligibility;electoral rolls;auditability","Threat modeling;Privacy;Protocols;Systematics;Maintenance;Fraud;Protection","","","","40","IEEE","20 Sep 2024","","","IEEE","IEEE Conferences"
"ML-Driven Audit Risk Assessment with Differential Privacy","Z. Zhang; G. Mohi-Ud-Din; Y. Xiong; X. Zhang; X. L. Lin; C. Ai; H. Min","School of Information Engineering, Nanchang Hangkong University, Nanchang, P.R China; School of Software, Nanchang University, Nanchang, P.R China; School of Information Engineering, Nanchang Hangkong University, Nanchang, P.R China; College of Computer and Information Engineering, Jiangxi Normal University, Nanchang, P.R China; School of Software, Nanchang University, Nanchang, P.R China; School of Software, Nanchang University, Nanchang, P.R China; Network and Information Technology Center, Jiangxi University of Traditional Chinese Medicine, Nanchang, P.R China",2024 11th International Conference on Soft Computing & Machine Intelligence (ISCMI),"28 Jan 2025","2024","","","257","266","In contemporary auditing practices, the ability to effectively identify and assess potential fraudulent companies is crucial for maintaining market fairness and transparency. Previous research has leveraged various machine learning techniques to detect fraudulent activities in financial data. However, these models often lack robustness and fail to protect the privacy of the financial information used for training. Here we introduces a novel approach by incorporating differential privacy into the training process, ensuring data protection without compromising model performance. To enhance model performance, we employed interquartile range filtering for outlier removal and optimized feature selection using Genetic Algorithm (GA), Particle Swarm Optimization (PSO), and Principal Component Analysis (PCA). For model training, we employed Logistic Regression, Random Forest, and Decision Trees, with hyperparameters meticulously fine-tuned through grid search and Bayesian optimization techniques to achieve optimal performance. To address privacy concerns, we implemented differential privacy using the Laplace mechanism, effectively safeguarding sensitive financial data. Our empirical results demonstrate that the enhanced models maintain high accuracy and robustness, providing a reliable tool for fraud detection while ensuring financial data privacy.","2640-0146","979-8-3315-1812-7","10.1109/ISCMI63661.2024.10851519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851519","Predictive modeling;Audit risk analysis;GA;PSO;Random Forest;Decision Tree","Training;Differential privacy;Analytical models;Adaptation models;Predictive models;Feature extraction;Robustness;Random forests;Principal component analysis;Genetic algorithms","","","","27","IEEE","28 Jan 2025","","","IEEE","IEEE Conferences"
"Deploying Blockchains to Simplify AI Algorithm Auditing","A. Butt; A. Z. Junejo; S. Ghulamani; G. Mahdi; A. Shah; D. Khan","Computer Science, SZABIST, Hyderabad, Pakistan; Computer and Information Sciences, Universiti Teknologi, PETRONAS, Seri Iskandar, Malaysia; Computer Science, SZABIST, Hyderabad, Pakistan; Kimberly Clark Corporation, Roswell, GA, USA; Kulliyah of Information and Communication Technology, IIUM, Malaysia; Computer and Information Sciences, Universiti Teknologi, PETRONAS, Seri Iskandar, Malaysia",2023 IEEE 8th International Conference on Engineering Technologies and Applied Sciences (ICETAS),"18 Dec 2023","2023","","","1","6","Artificial Intelligence has largely occupied various sectors in the world. A huge number of business companies have incorporated several machine learning algorithms for day-to-day decision making. With increasing applications of AI algorithms, the concerns regarding its outcomes have also increased due to bias. In AI algorithms, bias occurs due to multiple reasons including incomplete data, skewed data, human error and so on. These algorithms have the tendency to amplify partially and discrimination in the results instead of benefiting them. This makes it compulsory for the algorithms to be audited. Currently, AI algorithm auditing processes have several challenges including tendency of biases to be deeply ingrained into the system, making these difficult to mitigate; lack of transparency in decision making and many more. This study presents the emerging technology of blockchains to be a viable solution to the existing problem. It comprehensively discusses the suitability of blockchains for transparency in the process of algorithm auditing which is bound to easily capture the issue and the layer consisting it. Consequently, the process of algorithm auditing will be more convenient and more productive. Moreover, this review also discusses some potential challenges that need to be addressed and some future recommendations for this integration.","2769-4518","979-8-3503-2709-0","10.1109/ICETAS59148.2023.10346420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10346420","Algorithm Auditing;Algorithmic Bias;Blockchain Networks;Fairness in AI;Digital Transparency","Machine learning algorithms;Soft sensors;Scalability;Decision making;Smart contracts;Standardization;Blockchains","","5","","26","IEEE","18 Dec 2023","","","IEEE","IEEE Conferences"
"Responsible AI for Government Program Evaluation and Performance Audits","D. F. Fonner; F. P. Coyle","SMU DataArts, Southern Methodist University, Dallas, USA; Lyle School of Engineering, Southern Methodist University, Dallas, USA",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","8222","8224","With the proliferation of user-friendly generative-AI tools, many government agencies, such as the National Science Foundation and the National Institutes of Health, have started exploring how these tools could improve one of their primary functions: managing grant programs to distribute funds for research. Government bans on the use of generative-AI for initial grant application evaluation limits the use of this technology. However, this research shows that a post hoc evaluative approach within the domain of Responsible AI provides a means by which government agencies can evaluate the big data collected through their grant programs. This proposed framework, Responsible AI for Evaluation (RAI-E), achieves this goal by curating big governmental administrative data using grant evaluation rubrics followed by model fine-tuning for agency-specific evaluation tasks. Convergence between model- and human-generated evaluations then enables robust diagnosis of grant program equity and fairness via Responsible AI and algorithm auditing methods. Preliminary experiments show improved model performance through the instruction-tuning of open source language models for evaluating government grant applications. Further research will explore the auditing of the underlying algorithms, devising a method for algorithm-in-the-loop frameworks to aid government administrators in evaluating their human-driven program performance.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825518","Responsible AI;Algorithm Auditing;Government Administration;Public Policy","Data privacy;Government;Decision making;Big Data;Data models;National Institutes of Health;Security;Artificial intelligence;Convergence","","","","20","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Responsible Generative AI for Software Development Life Cycle","J. A. Shah; G. Bajpai","Cyber Security Engineering Canada DevOps Community of Pracitce & IEEE YP Toronto, Ontario, Canada; Sofware Development & AI Engineering Canada DevOps Community of Pracitce Ottawa, Ontario, Canada",2025 IEEE World AI IoT Congress (AIIoT),"12 Aug 2025","2025","","","0056","0061","Software practitioners are driving a paradigm shift in software engineering practices by integrating generative AI technology into software development and lifecycle management. Integration of generative AI to plan, design, develop, test and maintain software brings productivity gains and enables rapid software releases, however it also presents ethical challenges. This paper examines strategies for developing software through integration of responsible Generative AI that endures, emphasizing primarily the ethical considerations, and the responsible use of Generative technology. It covers the benefits and challenges of collaborative development with responsible Generative AI technologies. The paper focuses on responsible use of generative AI considerations which are likely to induce software integrity and trust. The paper presents best practices, audits, assessments and benchmarking concepts for Gen AI integrated software development and lifecycle management. Subsequently, the paper highlights the importance of safeguarding the integrity of the software development lifecycle through incorporating responsible AI principles, mainly fairness, bias mitigation, privacy and data security, transparency and accountability. Lastly, presenting recommendation for built-in and add-on capabilities for responsible use of GenAI integration into SDLC which paves the way to the trusted ecosystem of GenAI integration for software practitioners.","","979-8-3315-2508-8","10.1109/AIIoT65859.2025.11105309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11105309","Artificial Intelligence;Generative AI;Software Development Life Cycle;Software Engineering;Security","Productivity;Ethics;Technological innovation;Generative AI;Reviews;Biological system modeling;Organizations;Software;Software development management;Software engineering","","","","13","IEEE","12 Aug 2025","","","IEEE","IEEE Conferences"
"AP2FL: Auditable Privacy-Preserving Federated Learning Framework for Electronics in Healthcare","A. Yazdinejad; A. Dehghantanha; G. Srivastava","Cyber Science Lab, Canada Cyber Foundry, University of Guelph, Guelph, ON, Canada; Cyber Science Lab, Canada Cyber Foundry, University of Guelph, Guelph, ON, Canada; Department of Mathematics and Computer Science, Brandon University, Brandon, MB, Canada",IEEE Transactions on Consumer Electronics,"29 Apr 2024","2024","70","1","2527","2535","The growing application of machine learning (ML) techniques in healthcare has led to increased interest in federated learning (FL), which enables the secure and private training of robust ML models. However, conventional FL methods often fall short of providing adequate privacy protection and face challenges in handling non-independent and identically distributed (Non-IID) training data. These shortcomings are of significant concern when employing FL in electronic devices in healthcare. To address these issues, we propose an Auditable Privacy-Preserving Federated Learning (AP2FL) model tailored for electronics in healthcare settings. By leveraging Trusted Execution Environments (TEE), AP2FL ensures secure training and aggregation processes on both client and server sides, effectively mitigating data leakage risks. To manage Non-IID data within the proposed framework, we incorporate the Active Personalized Federated Learning (ActPerFL) model and Batch Normalization (BN) techniques to consolidate user updates and identify data similarities. Additionally, we introduce an auditing mechanism in AP2FL that reveals the contribution of each client to the FL process, facilitating the updating of the global model following diverse data types and distributions. In other words, it ensures the FL process’s integrity, transparency, fairness, and robustness. Our results demonstrate that the proposed AP2FL model outperforms existing methods in accuracy and effectively eliminates privacy leakage.","1558-4127","","10.1109/TCE.2023.3318509","Natural Sciences and Engineering Research Council of Canada(grant numbers:RGPIN-2020-05363); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10261257","Privacy;FL;auditing;non-IID;healthcare","Medical services;Data models;Servers;Load modeling;Training;Privacy;Data privacy","","68","","32","IEEE","22 Sep 2023","","","IEEE","IEEE Journals"
