Article Title,author,Abstract,note,year,month,doi,howpublished,Document Type,ID,include,reason
DeepProv: Behavioral Characterization and Repair of Neural Networks via Inference Provenance Graph Analysis,"Hmida, Ben, Firas AND Amich, Abderrahmen AND Kaboudi, Ata AND Eshete, Birhanu","Deep neural networks (DNNs) are increasingly being deployed in high-stakes applications, from self-driving cars to biometric authentication. However, their unpredictable and unreliable behaviors in real-world settings require new approaches to characterize and ensure their reliability.
  This paper introduces DeepProv, a novel and customizable system designed to capture and characterize the runtime behavior of DNNs during inference by using their underlying graph structure. Inspired by systemauditprovenance graphs, DeepProv models the computational information flow of a DNN's inference process through Inference Provenance Graphs (IPGs). These graphs provide a detailed structural representation of the behavior of DNN, allowing both empirical and structural analysis. DeepProv uses these insights to systematically repair DNNs for specific objectives, such as improving robustness,privacy, orfairness.
  We instantiate DeepProv with adversarial robustness as the goal of model repair and conduct extensive case studies to evaluate its effectiveness. Our results demonstrate its effectiveness and scalability across diverse classification tasks, attack scenarios, and model complexities. DeepProv automatically identifies repair actions at the node and edge-level within IPGs, significantly enhancing the robustness of the model. In particular, applying DeepProv repair strategies to just a single layer of a DNN yields an average 55% improvement in adversarial accuracy. Moreover, DeepProv complements existing defenses, achieving substantial gains in adversarial robustness. Beyond robustness, we demonstrate the broader potential of DeepProv as an adaptable system to characterize DNN behavior in other critical areas, such asprivacyauditingandfairnessanalysis.","18 pages, 9 figures, 6 tables, To appear in the 41st Annual Computer Security Applications Conference (ACSAC), 2025",2025,sep,https://doi.org/10.48550/arXiv.2509.26562,\url{https://arxiv.org/pdf/2509.26562},ARTICLE,Hmida2025,no,not auditing OF AI
"Safe and Certifiable AI Systems: Concepts, Challenges, and Lessons Learned","Schweighofer, Kajetan AND Brune, Barbara AND Gruber, Lukas AND Schmid, Simon AND Aufreiter, Alexander AND Gruber, Andreas AND Doms, Thomas AND Eder, Sebastian AND Mayer, Florian AND Stadlbauer, Xaver-Paul AND Schwald, Christoph AND Zellinger, Werner AND Nessler, Bernhard AND Hochreiter, Sepp","There is an increasing adoption of artificial intelligence in safety-critical applications, yet practical schemes for certifying that AI systems are safe, lawful and socially acceptable remain scarce. This white paper presents the TÜV AUSTRIA Trusted AI framework an end-to-endauditcatalog and methodology for assessing and certifying machine learning systems. Theauditcatalog has been in continuous development since 2019 in an ongoing collaboration with scientific partners. Building on three pillars - Secure Software Development, Functional Requirements, and Ethics & DataPrivacy- the catalog translates the high-level obligations of the EU AI Act into specific, testable criteria. Its core concept of functional trustworthiness couples a statistically defined application domain with risk-based minimum performance requirements and statistical testing on independently sampled data, providing transparent and reproducible evidence of model quality in real-world settings. We provide an overview of the functional requirements that we assess, which are oriented on the lifecycle of an AI system. In addition, we share some lessons learned from the practical application of theauditcatalog, highlighting common pitfalls we encountered, such as data leakage scenarios, inadequate domain definitions, neglect of biases, or a lack of distribution drift controls. We further discuss key aspects of certifying AI systems, such as robustness, algorithmicfairness, or post-certification requirements, outlining both our current conclusions and a roadmap for future research. In general, by aligning technical best practices with emerging European standards, the approach offers regulators, providers, and users a practical roadmap for legally compliant, functionally trustworthy, and certifiable AI systems.","63 pages, 27 figures",2025,sep,https://doi.org/10.48550/arXiv.2509.08852,\url{https://arxiv.org/pdf/2509.08852},ARTICLE,Schweighofer2025,yes,
Adaptive t Design Dummy-Gate Obfuscation for Cryogenic Scale Enforcement,"Punch, Samuel AND Guha, Krishnendu","Cloud quantum services can reveal circuit structure and timing through scheduler metadata, latency patterns, and co-tenant interference. We introduce NADGO (Noise-Adaptive Dummy-Gate Obfuscation), a scheduling and obfuscation stack that enforces operationalprivacyfor gate-model workloads by applying per-interval limits on observable information leakage. To support confidentiality andfairmulti-tenancy, operators require a method toauditcompliance at acceptable overheads. NADGO combines: (i) hardware-aware t-design padding for structured cover traffic, (ii) particle-filter timing randomization to mask queue patterns, (iii) CASQUE subcircuit routing across heterogeneous backends, and (iv) a per-interval leakage estimator with locked calibration artifacts and a dual-threshold kill-switch. We prototype the approach on a 4-qubit superconducting tile with cryo-CMOS control and evaluate both depth-varied local-random circuits and small QAOA instances. Monitoring runs at a 6.3 microsecond control interval, and per-interval decisions are recorded in an append-only, hash-chainedauditlog. Across Monte Carlo (Tier 1) and cloud-hardware emulation (Tier 2) evaluations, NADGO maintains leakage within budget in nominal operation (interval-abort rate below 1 percent) and under attack yields high separation with concentrated aborts. At matched leakage targets, microbenchmarks indicate lower latency and cryogenic power consumption than static padding, while end-to-end workloads maintain competitive cost envelopes.",6,2025,aug,https://doi.org/10.48550/arXiv.2509.00812,\url{https://arxiv.org/pdf/2509.00812},ARTICLE,Punch2025,no,not auditing OF AI
Towards Enhancing Data Equity in Public Health Data Science,"Wang, Yiran AND Boyd, E., Alicia AND Rountree, Lillian AND Ren, Yi AND Nyhan, Kate AND Nagar, Ruchit AND Higginbottom, Jackson AND Ranney, L., Megan AND Parikh, Harsh AND Mukherjee, Bhramar","Data-driven decisions shape public health policies and practice, yet persistent disparities in data representation skew insights and undermine interventions. To address this, we advance a structured roadmap that integrates public health data science with computer science and is grounded in reflexivity. We adopt data equity as a guiding concept: ensuring thefairand inclusive representation, collection, and use of data to prevent the introduction or exacerbation of systemic biases that could lead to invalid downstream inference and decisions. To underscore urgency, we present three public health cases where non-representative datasets and skewed knowledge impede decisions across diverse subgroups. These challenges echo themes in two literatures: public health highlights gaps in high-quality data for specific populations, while computer science and statistics contribute criteria and metrics for diagnosing bias in data and models. Building on these foundations, we propose a working definition of public health data equity and a structured self-auditframework. Our framework integrates core computational principles (fairness, accountability, transparency, ethics,privacy, confidentiality) with key public health considerations (selection bias, representativeness, generalizability, causality, information bias) to guide equitable practice across the data life cycle, from study design and data collection to measurement, analysis, interpretation, and translation. Embedding data equity in routine practice offers a practical path for ensuring that data-driven policies, artificial intelligence, and emerging technologies improve health outcomes for all. Finally, we emphasize the critical understanding that, although data equity is an essential first step, it does not inherently guarantee information, learning, or decision equity.","111 pages, 4 figures, 1 table",2025,aug,https://doi.org/10.48550/arXiv.2508.20301,\url{https://arxiv.org/pdf/2508.20301},ARTICLE,Wang2025,yes,
DAIQ:AuditingDemographic Attribute Inference from Question in LLMs,"Panda, Srikant AND Patel, Laxmichand, Hitesh AND Al-Khalifa, Shahad AND Agarwal, Amit AND Al-Khalifa, Hend AND Al-Ghamdi, Sharefah","Large Language Models (LLMs) are known to reflect social biases when demographic attributes, such as gender or race, are explicitly present in the input. But even in their absence, these models still infer user identities based solely on question phrasing. This subtle behavior has received far less attention, yet poses serious risks: it violates expectations of neutrality, infers unintended demographic information, and encodes stereotypes that underminefairnessin various domains including healthcare, finance and education.
  We introduce Demographic Attribute Inference from Questions (DAIQ), a task and framework forauditingan overlooked failure mode in language models: inferring user demographic attributes from questions that lack explicit demographic cues. Our approach leverages curated neutral queries, systematic prompting, and both quantitative and qualitative analysis to uncover how models infer demographic information. We show that both open and closed source LLMs do assign demographic labels based solely on question phrasing.
  Prevalence and consistency of demographic inferences across diverse models reveal a systemic and underacknowledged risk: LLMs can fabricate demographic identities, reinforce societal stereotypes, and propagate harms that erodeprivacy,fairness, and trust posing a broader threat to social equity and responsible AI deployment. To mitigate this, we develop a prompt-based guardrail that substantially reduces identity inference and helps align model behavior withfairnessandprivacyobjectives.",Preprint,2025,aug,https://doi.org/10.48550/arXiv.2508.15830,\url{https://arxiv.org/pdf/2508.15830},ARTICLE,Panda2025,yes,
Beyond Internal Data: Bounding and EstimatingFairnessfrom Incomplete Data,"Ramineni, Varsha AND Rahmani, A., Hossein AND Yilmaz, Emine AND Barber, David","Ensuringfairnessin AI systems is critical, especially in high-stakes domains such as lending, hiring, and healthcare. This urgency is reflected in emerging global regulations that mandatefairnessassessments and independent biasaudits. However, procuring the necessary complete data forfairnesstesting remains a significant challenge. In industry settings, legal andprivacyconcerns restrict the collection of demographic data required to assess group disparities, andauditorsface practical and cultural challenges in gaining access to data. In practice, data relevant forfairnesstesting is often split across separate sources: internal datasets held by institutions with predictive attributes, and external public datasets such as census data containing protected attributes, each providing only partial, marginal information. Our work seeks to leverage such available separate data to estimate modelfairnesswhen complete data is inaccessible. We propose utilising the available separate data to estimate a set of feasible joint distributions and then compute the set plausiblefairnessmetrics. Through simulation and real experiments, we demonstrate that we can derive meaningful bounds onfairnessmetrics and obtain reliable estimates of the true metric. Our results demonstrate that this approach can serve as a practical and effective solution forfairnesstesting in real-world settings where access to complete data is restricted.","9 pages, 3 figures",2025,aug,https://doi.org/10.48550/arXiv.2508.13040,\url{https://arxiv.org/pdf/2508.13040},ARTICLE,Ramineni2025,yes,
The Surprising Effectiveness of Membership Inference with Simple N-Gram Coverage,"Hallinan, Skyler AND Jung, Jaehun AND Sclar, Melanie AND Lu, Ximing AND Ravichander, Abhilasha AND Ramnath, Sahana AND Choi, Yejin AND Karimireddy, Praneeth, Sai AND Mireshghallah, Niloofar AND Ren, Xiang","Membership inference attacks serves as useful tool forfairuse of language models, such as detecting potential copyright infringement andauditingdata leakage. However, many current state-of-the-art attacks require access to models' hidden states or probability distribution, which prevents investigation into more widely-used, API-access only models like GPT-4. In this work, we introduce N-Gram Coverage Attack, a membership inference attack that relies solely on text outputs from the target model, enabling attacks on completely black-box models. We leverage the observation that models are more likely to memorize and subsequently generate text patterns that were commonly observed in their training data. Specifically, to make a prediction on a candidate member, N-Gram Coverage Attack first obtains multiple model generations conditioned on a prefix of the candidate. It then uses n-gram overlap metrics to compute and aggregate the similarities of these outputs with the ground truth suffix; high similarities indicate likely membership. We first demonstrate on a diverse set of existing benchmarks that N-Gram Coverage Attack outperforms other black-box methods while also impressively achieving comparable or even better performance to state-of-the-art white-box attacks - despite having access to only text outputs. Interestingly, we find that the success rate of our method scales with the attack compute budget - as we increase the number of sequences generated from the target model conditioned on the prefix, attack performance tends to improve. Having verified the accuracy of our method, we use it to investigate previously unstudied closed OpenAI models on multiple domains. We find that more recent models, such as GPT-4o, exhibit increased robustness to membership inference, suggesting an evolving trend toward improvedprivacyprotections.",CoLM 2025,2025,aug,https://doi.org/10.48550/arXiv.2508.09603,\url{https://arxiv.org/pdf/2508.09603},ARTICLE,Hallinan2025,no,not auditing OF AI
"Beyond Benchmarks: Dynamic, Automatic And Systematic Red-Teaming Agents For Trustworthy Medical Language Models","Pan, Jiazhen AND Jian, Bailiang AND Hager, Paul AND Zhang, Yundi AND Liu, Che AND Jungmann, Friedrike AND Li, Bran, Hongwei AND You, Chenyu AND Wu, Junde AND Zhu, Jiayuan AND Liu, Fenglin AND Liu, Yuyuan AND Bubeck, Niklas AND Wachinger, Christian AND Chen AND Chen AND Gong, Zhenyu AND Ouyang, Cheng AND Kaissis, Georgios AND Wiestler, Benedikt AND Rueckert, Daniel","Ensuring the safety and reliability of large language models (LLMs) in clinical practice is critical to prevent patient harm and promote trustworthy healthcare applications of AI. However, LLMs are advancing so rapidly that static safety benchmarks often become obsolete upon publication, yielding only an incomplete and sometimes misleading picture of model trustworthiness. We demonstrate that a Dynamic, Automatic, and Systematic (DAS) red-teaming framework that continuously stress-tests LLMs can reveal significant weaknesses of current LLMs across four safety-critical domains: robustness,privacy, bias/fairness, and hallucination. A suite of adversarial agents is applied to autonomously mutate test cases, identify/evolve unsafe-triggering strategies, and evaluate responses, uncovering vulnerabilities in real time without human intervention. Applying DAS to 15 proprietary and open-source LLMs revealed a stark contrast between static benchmark performance and vulnerability under adversarial pressure. Despite a median MedQA accuracy exceeding 80\%, 94\% of previously correct answers failed our dynamic robustness tests. We observed similarly high failure rates across other domains:privacyleaks were elicited in 86\% of scenarios, cognitive-bias priming altered clinical recommendations in 81\% offairnesstests, and we identified hallucination rates exceeding 66\% in widely used models. Such profound residual risks are incompatible with routine clinical practice. By converting red-teaming from a static checklist into a dynamic stress-testaudit, DAS red-teaming offers the surveillance that hospitals/regulators/technology vendors require as LLMs become embedded in patient chatbots, decision-support dashboards, and broader healthcare workflows. Our framework delivers an evolvable, scalable, and reliable safeguard for the next generation of medical AI.",,2025,jul,https://doi.org/10.48550/arXiv.2508.00923,\url{https://arxiv.org/pdf/2508.00923},ARTICLE,Pan2025,yes,
Beyond Internal Data: Constructing Complete Datasets forFairnessTesting,"Ramineni, Varsha AND Rahmani, A., Hossein AND Yilmaz, Emine AND Barber, David","As AI becomes prevalent in high-risk domains and decision-making, it is essential to test for potential harms and biases. This urgency is reflected by the global emergence of AI regulations that emphasisefairnessand adequate testing, with some mandating independent biasaudits. However, procuring the necessary data forfairnesstesting remains a significant challenge. Particularly in industry settings, legal andprivacyconcerns restrict the collection of demographic data required to assess group disparities, andauditorsface practical and cultural challenges in gaining access to data. Further, internal historical datasets are often insufficiently representative to identify real-world biases. This work focuses on evaluating classifierfairnesswhen complete datasets including demographics are inaccessible. We propose leveraging separate overlapping datasets to construct complete synthetic data that includes demographic information and accurately reflects the underlying relationships between protected attributes and model features. We validate the fidelity of the synthetic data by comparing it to real data, and empirically demonstrate thatfairnessmetrics derived from testing on such synthetic data are consistent with those obtained from real data. This work, therefore, offers a path to overcome real-world data scarcity forfairnesstesting, enabling independent, model-agnostic evaluation offairness, and serving as a viable substitute where real data is limited.","9 pages, 6 figures",2025,jul,https://doi.org/10.48550/arXiv.2507.18561,\url{https://arxiv.org/pdf/2507.18561},ARTICLE,Ramineni2025,no,not auditing OF AI
EDGChain-E: A Decentralized Git-Based Framework for Versioning Encrypted Energy Data,"Alimoglu, Alper AND Erdayandi, Kamil AND Mustafa, A., Mustafa AND Cali, Ümit","This paper proposes a new decentralized framework, named EDGChain-E (Encrypted-Data-Git Chain for Energy), designed to manage version-controlled, encrypted energy data using blockchain and the InterPlanetary File System. The framework incorporates a Decentralized Autonomous Organization (DAO) to orchestrate collaborative data governance across the lifecycle of energy research and operations, such as smart grid monitoring, demand forecasting, and peer-to-peer energy trading. In EDGChain-E, initial commits capture the full encrypted datasets-such as smart meter readings or grid telemetry-while subsequent updates are tracked as encrypted Git patches, ensuring integrity, traceability, andprivacy. This versioning mechanism supports secure collaboration across multiple stakeholders (e.g., utilities, researchers, regulators) without compromising sensitive or regulated information. We highlight the framework's capability to maintainFAIR-compliant (Findable, Accessible, Interoperable, Reusable) provenance of encrypted data. By embedding hash-based content identifiers in Merkle trees, the system enables transparent,auditable, and immutable tracking of data changes, thereby supporting reproducibility and trust in decentralized energy applications.",,2025,jul,https://doi.org/10.48550/arXiv.2507.01615,\url{https://arxiv.org/pdf/2507.01615},ARTICLE,Alimoglu2025,no,not auditing OF AI
