Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
J,"Tang, Gui; Tan, Wuzheng; Cai, Mei",,,,,,,,,,Privacy-Preserving and Trustless Verifiable Fairness Audit of Machine Learning Models,,,,,,,,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,,14,2,,,822,832,,,,,,,,,,,Article,FEB 2023,2023,"in the big data era, machine learning has devel-oped prominently and is widely used in real-world systems. Yet, machine learning raises fairness concerns, which incurs discrimination against groups determined by sensitive attributes such as gender and race. Many researchers have focused on developing fairness audit technique of machine learning model that enable users to protect themselves from discrimination. Existing solutions, however, rely on additional external trust as-sumptions, either on third-party entities or external components, that significantly lower the security. In this study, we propose a trustless verifiable fairness audit framework that assesses the fairness of ML algorithms while addressing potential security issues such as data privacy, model secrecy, and trustworthiness. With succinctness and non-interactive of zero knowledge proof, our framework not only guarantees audit integrity, but also clearly enhance security, enabling fair ML models to be publicly auditable and any client to verify audit results without extra trust assumption. Our evaluation on various machine learning models and real-world datasets shows that our framework achieves practical performance.",,,,,,,,,2,0,0,0,0,0,2,,,2158-107X,2156-5570,,,,,,,,,,"Jinan Univ, Coll Cyber Secur, Guangzhou, Peoples R ChinaJinan Univ Lib, Guangzhou, Peoples R China",,,,2023-07-06,WOS:000958420800001,,
J,"Mittal, Surbhi; Thakral, Kartik; Singh, Richa; Vatsa, Mayank; Glaser, Tamar; Canton Ferrer, Cristian; Hassner, Tal",,,,"Vatsa, Mayank/I-5050-2013; Vatsa, Mayank/AAR-7199-2020; Glaser, Tamar/KZU-5891-2024","Vatsa, Mayank/0000-0001-5952-2274; Thakral, Kartik/0000-0002-2528-9950;",,,,,"On responsible machine learning datasets emphasizing fairness, privacy and regulatory norms with examples in biometrics and healthcare",,,,,,,,NATURE MACHINE INTELLIGENCE,,,,6,8,,,936,949,,,,10.1038/s42256-024-00874-y,,,,,AUG 2024,,Article,AUG 2024,2024,"Artificial Intelligence (AI) has seamlessly integrated into numerous scientific domains, catalysing unparalleled enhancements across a broad spectrum of tasks; however, its integrity and trustworthiness have emerged as notable concerns. The scientific community has focused on the development of trustworthy AI algorithms; however, machine learning and deep learning algorithms, popular in the AI community today, intrinsically rely on the quality of their training data. These algorithms are designed to detect patterns within the data, thereby learning the intended behavioural objectives. Any inadequacy in the data has the potential to translate directly into algorithms. In this study we discuss the importance of responsible machine learning datasets through the lens of fairness, privacy and regulatory compliance, and present a large audit of computer vision datasets. Despite the ubiquity of fairness and privacy challenges across diverse data domains, current regulatory frameworks primarily address human-centric data concerns. We therefore focus our discussion on biometric and healthcare datasets, although the principles we outline are broadly applicable across various domains. The audit is conducted through evaluation of the proposed responsible rubric. After surveying over 100 datasets, our detailed analysis of 60 distinct datasets highlights a universal susceptibility to fairness, privacy and regulatory compliance issues. This finding emphasizes the urgent need for revising dataset creation methodologies within the scientific community, especially in light of global advancements in data protection legislation. We assert that our study is critically relevant in the contemporary AI context, offering insights and recommendations that are both timely and essential for the ongoing evolution of AI technologies.There are pervasive concerns related to fairness, privacy and regulatory compliance in machine learning applications in healthcare, necessitating a reevaluation of dataset creation practices. Mittal et al. examine various computer vision datasets, providing insights to foster responsible AI development.",,,,,,,,,6,1,0,0,1,0,7,,,,2522-5839,,,,,,,,,,"IIT Jodhpur, Dept Comp Sci, Jodhpur, IndiaMeta, Menlo Pk, CA USAWeir PBC, Alameda, CA USA",MetaWeir PBC,,,2024-08-17,WOS:001289381300001,,
J,"Ganescu, Bianca-Mihaela; Passerat-Palmbach, Jonathan",,,,"Passerat-Palmbach, Jonathan/AGG-9688-2022",,,,,,Trust the Process: Zero-Knowledge Machine Learning to Enhance Trust in Generative AI Interactions,,,,,,,,Arxiv,,,,,,,,,,,1,,arXiv:2402.06414,,,,,,,preprint,Feb 09 2024,2024,"Generative AI, exemplified by models like transformers, has opened up new possibilities in various domains but also raised concerns about fairness, transparency and reliability, especially in fields like medicine and law. This paper emphasizes the urgency of ensuring fairness and quality in these domains through generative AI. It explores using cryptographic techniques, particularly Zero -Knowledge Proofs (ZKPs), to address concerns regarding performance fairness and accuracy while protecting model privacy. Applying ZKPs to Machine Learning models, known as ZKML (Zero -Knowledge Machine Learning), enables independent validation of AIgenerated content without revealing sensitive model information, promoting transparency and trust. ZKML enhances AI fairness by providing cryptographic audit trails for model predictions and ensuring uniform performance across users. We introduce snarkGPT, a practical ZKML implementation for transformers, to empower users to verify output accuracy and quality while preserving model privacy. We present a series of empirical results studying snarkGPT’s scalability and performance to assess the feasibility and challenges of adopting a ZKML-powered approach to capture quality and performance fairness problems in generative AI models.",,,,,,,,,4,0,0,0,0,0,4,,,,,,,,,,,,,,"Imperial Coll London, London, EnglandFlashbots, London, England",Flashbots,,,2024-05-25,PPRN:87605457,,
J,"Ezeife, Enuma",,,,,,,,,,,,,,,,,,International Journal of Multidisciplinary Research and Growth Evaluation,,,,2,1,,,693,701,,,,10.54660/.ijmrge.2021.2.1.693-701,,,,,,,Article,Jan 01 2021,2021,"The integration of Artificial Intelligence (AI) into tax technology is transforming compliance and efficiency in the U.S. tax system. AI-driven business analytics offers a data-driven approach to enhancing tax administration, reducing compliance burdens, and improving fraud detection. This paper presents a business analytics framework that leverages AI technologies such as machine learning, natural language processing (NLP), robotic process automation (RPA), and blockchain to optimize tax compliance and operational efficiency. Machine learning enhances risk assessment by detecting anomalies and predicting tax fraud patterns, enabling proactive audits. NLP-powered AI systems facilitate real-time interpretation of tax regulations and automate taxpayer assistance, improving service delivery. RPA streamlines tax reporting processes, reducing manual errors and processing times, while blockchain enhances the security and transparency of tax transactions. Additionally, AI-driven tax policy simulations support data-driven decision-making for tax reforms and revenue optimization. Despite its potential, AI-driven tax technology faces challenges, including ethical concerns, data privacy risks, and integration complexities with legacy tax systems. Ensuring transparency, accountability, and fairness in AI-based tax enforcement is critical. Regulatory bodies must establish governance frameworks to oversee AI applications while promoting responsible AI adoption in tax administration. This review highlights key policy recommendations, including AI governance structures, public-private collaborations, and investment in AI literacy for tax professionals. By balancing automation with human oversight, AI-driven tax technology can enhance compliance accuracy, reduce costs, and improve taxpayer engagement. As AI continues to evolve, its role in tax compliance and efficiency will be central to shaping the future of digital tax administration in the United States.",,,,,,,,,0,0,0,0,0,0,2,,,,2582-7138,,,,,,,,,,,,,,2025-07-08,RC:124499782_S24,,
J,"Toreini, Ehsan; Mehrnezhad, Maryam; van Moorsel, Aad",,,,"Toreini, Ehsan/HPG-4769-2023","Mehrnezhad, Maryam/0000-0002-4223-6885",,,,,Fairness as a Service (FaaS): verifiable and privacy-preserving fairness auditing of machine learning systems,,,,,,,,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,,,,23,2,,,981,997,,,,10.1007/s10207-023-00774-z,,,,,NOV 2023,,Article,APR 2024,2024,"Providing trust in machine learning (ML) systems and their fairness is a socio-technical challenge, and while the use of ML continues to rise, there is lack of adequate processes and governance practices to assure their fairness. In this paper, we propose FaaS, a novel privacy-preserving, end-to-end verifiable solution, that audits the algorithmic fairness of ML systems. FaaS offers several features, which are absent from previous designs. The FAAS protocol is model-agnostic and independent of specific fairness metrics and can be utilised as a service by multiple stakeholders. FAAS uses zero knowledge proofs to assure the well-formedness of the cryptograms and provenance in the steps of the protocol. We implement a proof of concept of the FaaS architecture and protocol using off-the-shelf hardware, software, and datasets and run experiments to demonstrate its practical feasibility and to analyse its performance and scalability. Our experiments confirm that our proposed protocol is scalable to large-scale auditing scenarios (e.g. over 1000 participants) and secure against various attack vectors.",,,,,,,,,3,0,0,0,0,0,3,,,1615-5262,1615-5270,,,,,,,,,,"Univ Surrey, Guildford, EnglandRoyal Holloway Univ London, Egham, EnglandUniv Birmingham, Birmingham, England",,,,2023-11-17,WOS:001096258900001,,
J,Julien Kiesse Bahangulu; Louis Owusu-Berko,,,,,,,,,,,,,,,,,,World Journal of Advanced Research and Reviews,,,,25,2,,,1746,1763,,,,10.30574/wjarr.2025.25.2.0571,,,,,Feb 2025,,Article,Feb 28 2025,2025,"The widespread adoption of AI-powered business analytics applications has revolutionized decision-making, yet it has also introduced significant challenges related to algorithmic bias, data ethics, and governance. As organizations increasingly rely on machine learning and big data analytics for customer profiling, credit scoring, hiring decisions, and predictive analytics, concerns about fairness, transparency, and compliance have intensified. Algorithmic biases—often stemming from biased training data, flawed model assumptions, and insufficient diversity in datasets—can result in discriminatory outcomes, reinforcing societal inequalities and reputational risks for businesses. To address these concerns, robust data ethics frameworks must be integrated into AI governance strategies. Ethical AI principles emphasize accountability, explainability, and bias mitigation techniques, ensuring that decision-making algorithms are transparent and justifiable. Organizations must implement bias detection methods, fairness-aware machine learning models, and continuous audits to minimize unintended consequences. Additionally, regulatory frameworks such as GDPR, CCPA, and AI-specific compliance laws necessitate stringent governance practices to protect consumer rights and data privacy. Beyond compliance, fostering public trust in AI-powered analytics requires organizations to adopt ethical data stewardship, ensuring that AI models align with corporate social responsibility (CSR) initiatives and stakeholder expectations. The intersection of data ethics, algorithmic accountability, and regulatory compliance presents both challenges and opportunities for businesses seeking to leverage AI responsibly. This paper examines key strategies for mitigating algorithmic bias, establishing ethical AI governance models, and ensuring fairness in data-driven business applications, providing a roadmap for organizations to enhance transparency, compliance, and equitable AI adoption.",,,,,,,,,3,0,0,0,1,0,4,,,,2581-9615,,,,,,,,,,,,,,2025-07-10,RC:147210996_S24,,
B,"Bhanot, Karan",,,,,,,,,,Synthetic Data Generation and Evaluation for Fairness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2023,2023,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.79838E+12,,,,,,,,,"Rensselaer Polytechnic Institute, Computer Science, New York, United States",Rensselaer Polytechnic Institute,,,,PQDT:85219726,,
J,Oritsematosan Faith Dudu; Olakunle Babatunde Alao; Enoch O. Alonge,,,,,,,,,,,,,,,,,,International Journal of Frontiers in Engineering and Technology Research,,,,7,2,,,1,10,,,,10.53294/ijfetr.2024.7.2.0045,,,,,Nov 2024,,Article,Nov 30 2024,2024,"This paper comprehensively reviews the integration of Artificial Intelligence (AI) into tax compliance processes within fintech ecosystems. It explores the theoretical foundations of AI technologies, such as machine learning and predictive analytics, and how they can automate tax reporting, auditing, and compliance monitoring. Conceptual models for AI-driven tax compliance are proposed, highlighting the potential for increased efficiency, accuracy, and cost reduction. The paper also examines challenges associated with AI adoption, including algorithmic biases, ethical concerns, data privacy issues, and regulatory hurdles. Strategies for overcoming these challenges and fostering broader adoption are discussed. Finally, the paper offers recommendations for fintech companies and policymakers, emphasizing the need for transparent AI models, bias mitigation, data privacy, and updated regulatory frameworks to ensure fair and effective AI-enabled tax systems.",,,,,,,,,0,0,0,0,0,0,0,,,,2783-0497,,,,,,,,,,,,,,2025-07-11,RC:154898202_S24,,
J,"Brusseau, James; Craveiro, Giovana Meloni",,,,,,,,,,"Why automatic AI ethics evaluations are coming, and how they will work",,,,,,,,Journal of AI Robotics & Workplace Automation,,,,1,4,,,342,342,,,,10.69554/pmum8049,,,,,Jun 2022,,Article,Jun 01 2022,2022,"Ethics evaluations of companies that function with AI at their core are increasingly required by regulation and law in Europe and the US. Investors in artificial intelligence (AI)-intensive companies also seek ethics evaluations as part of the nonfinancial information they gather about corporate performance, especially as it relates to privacy and algorithmic fairness. The result is an increasing demand for the evaluations. The costs and time necessary to perform an AI ethics audit, however, are high, even prohibitive. To solve the problem, natural language processing (NLP) and machine learning (ML) can be employed to automate the process. The proposal is that much of the work of AI evaluating can be accomplished more efficiently by machines than by humans. To show how automated ethics reporting may work, this paper describes a project currently underway at Pace University in New York and the University of Trento in Italy. The project endeavours to apply AI to the task of producing AI ethics evaluations.",,,,,,,,,0,0,0,0,0,0,0,,,,2633-5638,,,,,,,,,,"Graduate, University of São Paulo, BrazilPhilosophy and Religious Studies Department, Pace University, One Pace Plaza, New York, NY 10038, United States",Univ Sao PauloPace Univ,,,2025-07-11,RC:154643173_S24,,
C,"Bergman, A. Stevie; Hendricks, Lisa Anne; Rauh, Maribeth; Wu, Boxi; Agnew, William; Kunesch, Markus; Duan, Isabella; Gabriel, Iason; Isaac, William",,,ASSOC COMPUTING MACHINERY,"; Gabriel, Iason/IST-7093-2023","Wu, Boxi/0009-0007-0641-6065; Bergman, Stevie/0000-0002-4331-1357; Gabriel, Iason/0000-0002-7552-4576;",,,,,Representation in AI Evaluations,,,,,,,,"PROCEEDINGS OF THE 6TH ACM CONFERENCE ON FAIRNESS, ACCOUNTABILITY, AND TRANSPARENCY, FACCT 2023",,,,,,,,519,533,,,,10.1145/3593013.3594019,,,,,,,Proceedings Paper,2023,2023,"Calls for representation in artificial intelligence (AI) and machine learning (ML) are widespread, with representation or representativeness generally understood to be both an instrumentally and intrinsically beneficial quality of an AI system, and central to fairness concerns. But what does it mean for an AI system to be representative? Each element of the AI lifecycle is geared towards its own goals and effect on the system, therefore requiring its own analyses with regard to what kind of representation is best. In this work we untangle the benefits of representation in AI evaluations to develop a framework to guide an AI practitioner or auditor towards the creation of representative ML evaluations. Representation, however, is not a panacea. We further lay out the limitations and tensions of instrumentally representative datasets, such as the necessity of data existence and access, surveillance vs expectations of privacy, implications for foundation models and power. This work sets the stage for a research agenda on representation in AI, which extends beyond instrumentally valuable representation in evaluations towards refocusing on, and empowering, impacted communities.",,,,,"6th ACM Conference on Fairness, Accountability, and Transparency (FAccT)6th ACM Conference on Fairness, Accountability, and Transparency (FAccT)","JUN 12-15, 2023JUN 12-15, 2023",Assoc Comp MachineryAssoc Comp Machinery,"Chicago, ILChicago, IL",10,0,0,0,0,0,11,,,,,978-1-4503-7252-7,,,,,,,,,"DeepMind, New York, NY 10011 USADeepMind, London, EnglandUniv Washington, Seattle, WA USAUniv Chicago, Chicago, IL USA",,,,2023-10-26,WOS:001062819300049,,
